"date","fav","id","rt","text","url"
"22/4/2012 22:15:58","","194157619680784384","1","'Si algo lo vivo como que es mío no tengo que dar explicaciones', dicen en el arzobispado de Navarra. ¡Aprende, Camps! #Quediostelopague","twitter.com/Rocigaot/status/194157619680784384"
"22/4/2012 22:10:31","","194156249212923905","3","'Pensaba que el obispo no podia atendernos porque estaba todo el día inmatriculando cosas'. ¡Zas! #quediostelopague","twitter.com/Rocigaot/status/194156249212923905"
"22/4/2012 21:58:38","","194153259429146624","","Lo de las inmatriculaciones de la Iglesia es de traca. Y apenas se oye hablar del tema, como no son terrenos de Repsol... #quediostelopague","twitter.com/Rocigaot/status/194153259429146624"
"22/4/2012 21:27:54","","194145523240935424","","Esperando a que empiece el #QueDiostelopague de @salvadostv , el tema promete!","twitter.com/Rocigaot/status/194145523240935424"
"22/4/2012 16:16:26","","194067140951810049","","@CaminoAna certo! avisarei polo caralibro a @AlbaPio , que como o twitter o ten abandonado...","twitter.com/Rocigaot/status/194067140951810049"
"22/4/2012 15:33:28","","194056328614912000","","@CaminoAna xa che digo, ata as e e pico da mañán estiven lendo! Case teño que sacar as lentillas con espátula!","twitter.com/Rocigaot/status/194056328614912000"
"22/4/2012 15:29:13","","194055259742666753","","@perradesatan ¿no viste el El Sentido de la Vida? Camarero, tráigame un cubo!  https://www.youtube.com/watch?v=aunvBiVs1Dw …","twitter.com/Rocigaot/status/194055259742666753"
"22/4/2012 3:16:38","","193870896090460161","","Onte @CaminoAna prestoume 'Betibú', e hoxe o lin dunha tacada. Recomendadísimo, sobre todo á xornalistas!","twitter.com/Rocigaot/status/193870896090460161"
"21/4/2012 12:28:35","","193647412655562753","","Viñeta: El Roto - 21 ABR 2012  http://elpais.com/elpais/2012/04/20/vinetas/1334937835_804476.html … vía @el_pais","twitter.com/Rocigaot/status/193647412655562753"
"20/4/2012 20:31:09","","193406464889602049","","@puchoboedo @anabeldn pues por ahí van los tiros. Es triste que algo que debería ser lo usual sea un hito en una tele pública, pero así es..","twitter.com/Rocigaot/status/193406464889602049"
"20/4/2012 20:22:22","","193404256785678336","","@puchoboedo @anabeldn y el que representantes del mismo partido que hizo los cambios intentaran censurar también dice mucho...","twitter.com/Rocigaot/status/193404256785678336"
"20/4/2012 20:20:52","","193403879440916481","","@puchoboedo @anabeldn se avanzó mucho (que se pusieran en evidencia para intentar censurar si lograrlo lo demuestra) pero aún faltaba...","twitter.com/Rocigaot/status/193403879440916481"
"20/4/2012 20:13:44","","193402081422491648","","@puchoboedo @anabeldn cierto, nos llevan bastante ventaja, lástima que mi brittish accent no dé para pedirles trabajo! :P","twitter.com/Rocigaot/status/193402081422491648"
"20/4/2012 20:03:00","","193399381406396416","","@puchoboedo @anabeldn con todo, si hubo ese intento de ver las escaletas fue porque no tenían el control de contenidos, y no lo consiguieron","twitter.com/Rocigaot/status/193399381406396416"
"20/4/2012 19:42:47","","193394293619175425","","@puchoboedo @anabeldn pues es lo que habrá ahora, pero en vez de pedir ver la escaleta, pondrán al frente al que ya va dispuesto a enseñarla","twitter.com/Rocigaot/status/193394293619175425"
"20/4/2012 19:33:56","","193392068364730368","","@puchoboedo @anabeldn cierto,y se paró por el plante de los trabajadores, ahora ni eso. Quedaba mucho por avanzar, y ahora retrocederemos...","twitter.com/Rocigaot/status/193392068364730368"
"20/4/2012 17:06:03","","193354849943945216","","Pues si las opciones que nos quedan a los periodistas son hacer periodismo de portada del ABC o irnos al McDonalds.. ¿mc menú o happy meal?","twitter.com/Rocigaot/status/193354849943945216"
